Year,Month,Inv Date,Customer Number,Product Line,Item Number,Qty Shipped,Net Sales,Net Price,COGS,gross_profit,sales,year_month,item_name,region_name,Gross Margin
2023,9,2023-09-01,10,236,3324931330,96,42164.16,439.21,10685,31479.160000000003,42164.16,2023-09,3324931330,West,0.7465857258866299
2022,2,2022-02-04,10,70,3379125379,67,42317.87,631.61,12413,29904.870000000003,42317.87,2022-02,3379125379,West,0.7066723821402164
2021,3,2021-03-10,10,247,555091941,70,15113.7,215.91,4065,11048.7,15113.7,2021-03,555091941,West,0.7310387264534827
2021,8,2021-08-14,10,235,1830512079,77,45475.43,590.59,9223,36252.43,45475.43,2021-08,1830512079,West,0.7971871843762665
2021,6,2021-06-25,10,122,2951999617,80,13886.4,173.58,4313,9573.4,13886.4,2021-06,2951999617,South,0.6894083419748819
2023,5,2023-05-01,10,217,8964549412,42,39914.28,950.34,13451,26463.28,39914.28,2023-05,8964549412,West,0.6630028150326149
2023,12,2023-12-21,10,27,3762781476,81,48954.78,604.38,11523,37431.78,48954.78,2023-12,3762781476,East,0.764619512129357
2022,9,2022-09-25,10,56,4620804331,43,7109.62,165.34,1546,5563.62,7109.62,2022-09,4620804331,North,0.782548153065846
2023,5,2023-05-09,15,65,5756292079,69,32504.52,471.08,11218,21286.52,32504.52,2023-05,5756292079,West,0.6548787676298558
2022,4,2022-04-09,15,50,8937860754,14,7732.2,552.3,1613,6119.2,7732.2,2022-04,8937860754,West,0.7913918419078658
2022,2,2022-02-14,15,147,1029531894,29,28230.92,973.48,7344,20886.92,28230.92,2022-02,1029531894,North,0.7398596999318477
2023,11,2023-11-01,15,108,896111045,10,6905.1,690.51,2103,4802.1,6905.1,2023-11,896111045,North,0.6954424990224617
2023,8,2023-08-11,15,286,6491560709,3,2801.28,933.76,662,2139.28,2801.28,2023-08,6491560709,North,0.7636794608179118
2023,5,2023-05-03,15,261,9373238804,99,90589.95,915.05,28051,62538.95,90589.95,2023-05,9373238804,South,0.6903519650910503
2022,6,2022-06-06,15,130,2434020746,53,36832.35,694.95,11651,25181.35,36832.35,2022-06,2434020746,South,0.6836748130379952
2023,7,2023-07-14,15,287,7009748145,88,34172.16,388.32,11602,22570.160000000003,34172.16,2023-07,7009748145,North,0.6604838558639547
2022,6,2022-06-01,15,237,2937837396,36,2947.32,81.87,934,2013.3200000000002,2947.32,2022-06,2937837396,West,0.683101936674674
2022,1,2022-01-14,15,300,733563994,46,25952.74,564.19,5992,19960.74,25952.74,2022-01,733563994,South,0.7691187905400355
2022,5,2022-05-14,15,76,2343721414,57,12143.85,213.05,2992,9151.85,12143.85,2022-05,2343721414,East,0.753620145176365
2023,12,2023-12-10,15,75,1619740152,73,7834.36,107.32,2272,5562.36,7834.36,2023-12,1619740152,East,0.7099954559147141
2023,9,2023-09-28,15,288,4383517275,57,52604.16,922.88,10590,42014.16,52604.16,2023-09,4383517275,West,0.7986851230016789
2021,10,2021-10-24,15,278,3563815176,20,1024.8,51.24,263,761.8,1024.8,2021-10,3563815176,North,0.7433645589383294
2023,4,2023-04-25,15,247,1654694408,97,86140.85,888.05,21961,64179.850000000006,86140.85,2023-04,1654694408,West,0.7450570780297617
2021,6,2021-06-19,15,298,6302934579,84,45650.64,543.46,12696,32954.64,45650.64,2021-06,6302934579,North,0.7218877982871653
2022,5,2022-05-19,15,101,4195430488,23,11293.0,491.0,3797,7496.0,11293.0,2022-05,4195430488,South,0.6637740193039936
2021,9,2021-09-25,15,51,8298645403,38,26877.4,707.3,7712,19165.4,26877.4,2021-09,8298645403,East,0.7130674842060616
2023,12,2023-12-26,15,150,4100476099,100,34877.0,348.77,7517,27360.0,34877.0,2023-12,4100476099,West,0.7844711414399175
2023,7,2023-07-12,15,109,7795770789,53,46748.65,882.05,15568,31180.65,46748.65,2023-07,7795770789,West,0.6669850359315189
2022,3,2022-03-21,15,247,7281839675,47,9799.97,208.51,3091,6708.969999999999,9799.97,2022-03,7281839675,North,0.6845908711965445
2022,6,2022-06-12,15,257,2683479319,72,34799.04,483.32,7639,27160.04,34799.04,2022-06,2683479319,East,0.7804824500905773
2023,5,2023-05-09,15,149,2638637345,31,9628.29,310.59,2305,7323.290000000001,9628.29,2023-05,2638637345,East,0.7606013113439666
2023,3,2023-03-11,15,216,4666019351,64,33281.28,520.02,9260,24021.28,33281.28,2023-03,4666019351,West,0.7217655090188839
2022,1,2022-01-15,15,196,381434697,89,64623.79,726.11,19411,45212.79,64623.79,2022-01,381434697,East,0.6996307397012772
2021,10,2021-10-07,15,174,2190796858,73,2727.28,37.36,677,2050.28,2727.28,2021-10,2190796858,East,0.751767328620457
2023,12,2023-12-17,15,167,783849875,59,1472.05,24.95,342,1130.05,1472.05,2023-12,783849875,West,0.76767093509052
2023,2,2023-02-15,15,55,6072353900,53,12911.86,243.62,3331,9580.86,12911.86,2023-02,6072353900,North,0.7420201272318628
2022,12,2022-12-16,15,135,1418444147,40,10387.2,259.68,3610,6777.200000000001,10387.2,2022-12,1418444147,South,0.6524568699938386
2023,4,2023-04-06,15,271,5496910050,34,19232.1,565.65,6337,12895.099999999999,19232.1,2023-04,5496910050,East,0.6704988014829374
2023,2,2023-02-14,4,127,7876222121,11,7026.14,638.74,1562,5464.14,7026.14,2023-02,7876222121,South,0.7776873219150202
2022,9,2022-09-19,4,293,627841914,51,15611.61,306.11,3638,11973.61,15611.61,2022-09,627841914,East,0.7669683011553581
2022,4,2022-04-16,4,246,838819244,30,9133.2,304.44,3175,5958.200000000001,9133.2,2022-04,838819244,West,0.6523671878421583
2021,7,2021-07-04,4,74,3859807813,59,30670.56,519.84,9691,20979.56,30670.56,2021-07,3859807813,East,0.6840292449828109
2023,5,2023-05-17,4,213,852474268,3,2161.77,720.59,670,1491.77,2161.77,2023-05,852474268,North,0.6900687862261018
2023,3,2023-03-10,4,68,2005247985,69,37442.85,542.65,8587,28855.85,37442.85,2023-03,2005247985,North,0.7706638250026373
2021,3,2021-03-11,4,119,9015738323,100,3295.0,32.95,739,2556.0,3295.0,2021-03,9015738323,East,0.775720789074355
2021,3,2021-03-14,4,105,3980698693,39,28498.47,730.73,7304,21194.47,28498.47,2021-03,3980698693,East,0.743705539279828
2023,7,2023-07-27,4,299,1777855024,28,5185.32,185.19,1276,3909.3199999999997,5185.32,2023-07,1777855024,West,0.7539206837765076
2023,12,2023-12-02,4,205,3650325760,50,14620.5,292.41,4261,10359.5,14620.5,2023-12,3650325760,West,0.7085598987722718
2022,11,2022-11-03,4,26,3898835278,58,37351.42,643.99,11693,25658.42,37351.42,2022-11,3898835278,West,0.6869463061913041
2021,10,2021-10-09,4,45,4937304878,20,4057.4,202.87,976,3081.4,4057.4,2021-10,4937304878,West,0.7594518657268201
2023,2,2023-02-07,4,232,6846779295,47,41745.87,888.21,12925,28820.870000000003,41745.87,2023-02,6846779295,West,0.6903885342430282
2022,12,2022-12-15,4,298,9116287393,40,13912.8,347.82,4825,9087.8,13912.8,2022-12,9116287393,East,0.6531970559484791
2021,1,2021-01-21,4,33,2643578121,55,21665.05,393.91,6541,15124.05,21665.05,2021-01,2643578121,South,0.6980851648161439
2023,11,2023-11-17,4,70,5620989021,73,3457.28,47.36,1179,2278.28,3457.28,2023-11,5620989021,North,0.6589804701962236
2022,7,2022-07-06,4,205,9388245466,46,1046.04,22.74,220,826.04,1046.04,2022-07,9388245466,East,0.7896829949141524
2021,3,2021-03-15,4,294,2347797963,71,26186.93,368.83,6460,19726.93,26186.93,2021-03,2347797963,South,0.7533120529974304
2022,11,2022-11-12,4,152,4298165667,32,24064.32,752.01,5448,18616.32,24064.32,2022-11,4298165667,West,0.7736067339530059
2022,6,2022-06-24,4,238,3427055010,66,62775.9,951.15,17959,44816.9,62775.9,2022-06,3427055010,South,0.7139188765115275
2021,11,2021-11-18,4,249,176391483,15,7622.1,508.14,2103,5519.1,7622.1,2021-11,176391483,West,0.7240917857283425
2023,3,2023-03-11,4,174,2027773033,46,24698.78,536.93,7104,17594.78,24698.78,2023-03,2027773033,South,0.7123744573618616
2022,12,2022-12-15,4,130,781807476,48,7506.24,156.38,1501,6005.24,7506.24,2022-12,781807476,North,0.8000330391780706
2023,10,2023-10-03,4,213,3703429160,3,1724.49,574.83,484,1240.49,1724.49,2023-10,3703429160,North,0.7193373113210283
2023,2,2023-02-11,4,84,9994197893,31,20573.15,663.65,5557,15016.150000000001,20573.15,2023-02,9994197893,South,0.7298906584553168
2022,4,2022-04-21,4,148,371457662,82,54447.18,663.99,18770,35677.18,54447.18,2022-04,371457662,North,0.6552622192737989
2023,8,2023-08-03,4,192,9193280725,48,22619.52,471.24,6660,15959.52,22619.52,2023-08,9193280725,South,0.7055640437993379
2023,9,2023-09-12,4,108,263612061,82,37541.24,457.82,7610,29931.239999999998,37541.24,2023-09,263612061,West,0.7972895940570957
2023,4,2023-04-27,4,258,1228225708,78,23758.8,304.6,6202,17556.8,23758.8,2023-04,1228225708,East,0.738959880128626
