Customer Number,Item Number,year_month,quarter,region_name,sales,Qty Shipped,COGS,gross_profit,Gross Margin,cost_per_unit
1,1452405.02,2021-08,2021Q3,South,7920.0,200,1914,6006.0,75.83,39.6
1,1452405.02,2021-08,2021Q3,West,3168.0,80,741,2427.0,76.61,39.6
1,1452405.02,2021-10,2021Q4,North,1584.0,40,450,1134.0,71.59,39.6
1,1452405.02,2021-10,2021Q4,West,3168.0,80,698,2470.0,77.97,39.6
1,1452405.02,2021-11,2021Q4,North,12672.0,320,3798,8874.0,70.03,39.6
1,1452405.02,2021-12,2021Q4,East,6336.0,160,1352,4984.0,78.66,39.6
1,1452405.02,2021-12,2021Q4,South,3168.0,80,918,2250.0,71.02,39.6
1,1452405.02,2021-12,2021Q4,West,3168.0,80,878,2290.0,72.29,39.6
1,1452405.02,2022-01,2022Q1,East,9504.0,240,2948,6556.0,68.98,39.6
1,1452405.02,2022-01,2022Q1,South,15840.0,400,3314,12526.0,79.08,39.6
1,1452405.02,2022-01,2022Q1,West,3168.0,80,1040,2128.0,67.17,39.6
1,1452405.02,2022-02,2022Q1,North,9504.0,240,2737,6767.0,71.2,39.6
1,1452405.02,2022-03,2022Q1,East,4752.0,120,1097,3655.0,76.91,39.6
1,1452405.02,2022-03,2022Q1,North,11088.0,280,3265,7823.0,70.55,39.6
1,1452405.02,2022-03,2022Q1,West,3168.0,80,960,2208.0,69.7,39.6
1,1452405.02,2022-04,2022Q2,South,4752.0,120,1437,3315.0,69.76,39.6
1,1452405.02,2022-04,2022Q2,West,4752.0,120,1460,3292.0,69.28,39.6
1,1452405.02,2022-05,2022Q2,West,1584.0,40,553,1031.0,65.09,39.6
1,1452405.02,2022-06,2022Q2,South,3168.0,80,1037,2131.0,67.27,39.6
1,1452418.02,2021-01,2021Q1,East,2376.0,24,705,1671.0,70.33,99.0
1,1452418.02,2021-01,2021Q1,South,4752.0,48,1161,3591.0,75.57,99.0
1,1452418.02,2021-02,2021Q1,East,3960.0,40,1327,2633.0,66.49,99.0
1,1452418.02,2021-02,2021Q1,North,10296.0,104,2510,7786.0,75.62,99.0
1,1452418.02,2021-02,2021Q1,West,4752.0,48,1488,3264.0,68.69,99.0
1,1452418.02,2021-03,2021Q1,North,9504.0,96,2585,6919.0,72.8,99.0
1,1452418.02,2021-03,2021Q1,South,4752.0,48,1434,3318.0,69.82,99.0
1,1452418.02,2021-04,2021Q2,East,4752.0,48,1125,3627.0,76.33,99.0
1,1452418.02,2021-04,2021Q2,West,4752.0,48,1307,3445.0,72.5,99.0
1,1452418.02,2021-05,2021Q2,South,4752.0,48,1645,3107.0,65.38,99.0
1,1452418.02,2021-06,2021Q2,North,14256.0,144,4752,9504.0,66.67,99.0
1,1452418.02,2021-07,2021Q3,East,2376.0,24,532,1844.0,77.61,99.0
1,1452418.02,2021-07,2021Q3,North,7128.0,72,1947,5181.0,72.69,99.0
1,1452418.02,2021-07,2021Q3,West,4752.0,48,1468,3284.0,69.11,99.0
1,1452418.02,2021-08,2021Q3,East,2376.0,24,822,1554.0,65.4,99.0
1,1452418.02,2021-08,2021Q3,North,4752.0,48,1374,3378.0,71.09,99.0
1,1452418.02,2021-09,2021Q3,South,2376.0,24,533,1843.0,77.57,99.0
1,1452418.02,2021-11,2021Q4,East,2376.0,24,517,1859.0,78.24,99.0
1,1452418.02,2021-12,2021Q4,East,4752.0,48,1348,3404.0,71.63,99.0
1,1452418.02,2021-12,2021Q4,South,2376.0,24,564,1812.0,76.26,99.0
1,1452418.02,2021-12,2021Q4,West,4752.0,48,1574,3178.0,66.88,99.0
1,1452418.02,2022-01,2022Q1,West,14256.0,144,4331,9925.0,69.62,99.0
1,1452418.02,2022-02,2022Q1,East,7128.0,72,2365,4763.0,66.82,99.0
1,1452418.02,2022-03,2022Q1,South,7128.0,72,2205,4923.0,69.07,99.0
1,1452418.02,2022-03,2022Q1,West,2376.0,24,607,1769.0,74.45,99.0
1,1452418.02,2022-04,2022Q2,West,4752.0,48,1306,3446.0,72.52,99.0
1,1452418.02,2022-07,2022Q3,East,2376.0,24,643,1733.0,72.94,99.0
1,1452543.02,2021-07,2021Q3,West,13260.0,260,2667,10593.0,79.89,51.0
1,1452543.02,2021-08,2021Q3,East,9180.0,180,2981,6199.0,67.53,51.0
1,1452543.02,2021-08,2021Q3,North,6120.0,120,1875,4245.0,69.36,51.0
1,1452543.02,2021-08,2021Q3,South,3060.0,60,714,2346.0,76.67,51.0
1,1452543.02,2021-09,2021Q3,North,6120.0,120,1953,4167.0,68.09,51.0
1,1452543.02,2021-09,2021Q3,South,1530.0,30,482,1048.0,68.5,51.0
1,1452543.02,2021-09,2021Q3,West,1530.0,30,462,1068.0,69.8,51.0
1,1452543.02,2021-10,2021Q4,West,3060.0,60,712,2348.0,76.73,51.0
1,1452703.02,2021-01,2021Q1,North,7128.0,120,2086,5042.0,70.74,59.4
1,1452703.02,2021-01,2021Q1,South,3564.0,60,746,2818.0,79.07,59.4
1,1452703.02,2021-01,2021Q1,West,10692.0,180,2730,7962.0,74.47,59.4
1,1452703.02,2021-02,2021Q1,East,3564.0,60,1024,2540.0,71.27,59.4
1,1452703.02,2021-02,2021Q1,North,3564.0,60,1200,2364.0,66.33,59.4
1,1452703.02,2021-02,2021Q1,South,3564.0,60,768,2796.0,78.45,59.4
1,1452703.02,2021-02,2021Q1,West,3564.0,60,983,2581.0,72.42,59.4
1,1452703.02,2021-04,2021Q2,North,3564.0,60,719,2845.0,79.83,59.4
1,1452703.02,2021-04,2021Q2,South,3564.0,60,1043,2521.0,70.74,59.4
1,1452703.02,2021-04,2021Q2,West,3564.0,60,728,2836.0,79.57,59.4
1,1452703.02,2021-05,2021Q2,North,1782.0,30,398,1384.0,77.67,59.4
1,1452703.02,2021-05,2021Q2,South,7128.0,120,1514,5614.0,78.76,59.4
1,1452703.02,2021-05,2021Q2,West,3564.0,60,923,2641.0,74.1,59.4
1,1452703.02,2021-06,2021Q2,South,7128.0,120,1956,5172.0,72.56,59.4
1,1452703.02,2021-06,2021Q2,West,3564.0,60,736,2828.0,79.35,59.4
1,1452703.02,2021-07,2021Q3,East,3564.0,60,832,2732.0,76.66,59.4
1,1452703.02,2021-07,2021Q3,South,7128.0,120,2432,4696.0,65.88,59.4
1,1452703.02,2021-08,2021Q3,East,3564.0,60,974,2590.0,72.67,59.4
1,1452703.02,2021-08,2021Q3,North,10692.0,180,2840,7852.0,73.44,59.4
1,1452703.02,2021-08,2021Q3,West,3564.0,60,851,2713.0,76.12,59.4
1,1452703.02,2021-09,2021Q3,North,7128.0,120,2065,5063.0,71.03,59.4
1,1452703.02,2021-09,2021Q3,South,3564.0,60,964,2600.0,72.95,59.4
1,1452703.02,2021-10,2021Q4,South,7128.0,120,1971,5157.0,72.35,59.4
1,1452703.02,2021-10,2021Q4,West,7128.0,120,1605,5523.0,77.48,59.4
1,1452703.02,2021-11,2021Q4,North,3564.0,60,779,2785.0,78.14,59.4
1,1452703.02,2021-11,2021Q4,West,3564.0,60,1181,2383.0,66.86,59.4
1,1452703.02,2021-12,2021Q4,North,3564.0,60,979,2585.0,72.53,59.4
1,1452703.02,2021-12,2021Q4,West,1782.0,30,405,1377.0,77.27,59.4
1,1452703.02,2022-01,2022Q1,North,5346.0,90,1241,4105.0,76.79,59.4
1,1452703.02,2022-01,2022Q1,South,10692.0,180,3278,7414.0,69.34,59.4
1,1452703.02,2022-01,2022Q1,West,3564.0,60,986,2578.0,72.33,59.4
1,1452703.02,2022-02,2022Q1,South,5346.0,90,1547,3799.0,71.06,59.4
1,1452703.02,2022-03,2022Q1,East,3564.0,60,1061,2503.0,70.23,59.4
1,1452703.02,2022-03,2022Q1,North,3564.0,60,1094,2470.0,69.3,59.4
1,1452703.02,2022-03,2022Q1,West,1782.0,30,439,1343.0,75.36,59.4
1,1452703.02,2022-04,2022Q2,South,1782.0,30,601,1181.0,66.27,59.4
1,1452703.02,2022-04,2022Q2,West,5346.0,90,1491,3855.0,72.11,59.4
1,1452703.02,2022-06,2022Q2,North,1782.0,30,608,1174.0,65.88,59.4
1,1452703.02,2022-07,2022Q3,West,3564.0,60,968,2596.0,72.84,59.4
1,1452730.02,2021-01,2021Q1,East,8910.0,60,2491,6419.0,72.04,148.5
1,1452730.02,2021-01,2021Q1,North,2970.0,20,809,2161.0,72.76,148.5
1,1452730.02,2021-01,2021Q1,South,5940.0,40,1687,4253.0,71.6,148.5
1,1452730.02,2021-02,2021Q1,East,5940.0,40,1542,4398.0,74.04,148.5
1,1452730.02,2021-02,2021Q1,West,8910.0,60,1831,7079.0,79.45,148.5
1,1452730.02,2021-04,2021Q2,East,5940.0,40,1580,4360.0,73.4,148.5
1,1452730.02,2021-04,2021Q2,North,8910.0,60,2804,6106.0,68.53,148.5
1,1452730.02,2021-05,2021Q2,East,8910.0,60,1843,7067.0,79.32,148.5
1,1452730.02,2021-05,2021Q2,North,5940.0,40,2033,3907.0,65.77,148.5
1,1452730.02,2021-07,2021Q3,East,2970.0,20,641,2329.0,78.42,148.5
1,1452730.02,2021-07,2021Q3,South,2970.0,20,784,2186.0,73.6,148.5
1,1452730.02,2021-07,2021Q3,West,2970.0,20,729,2241.0,75.45,148.5
1,1452730.02,2021-08,2021Q3,East,8910.0,60,1956,6954.0,78.05,148.5
1,1452730.02,2021-08,2021Q3,North,2970.0,20,972,1998.0,67.27,148.5
1,1452730.02,2021-08,2021Q3,South,5940.0,40,1902,4038.0,67.98,148.5
1,1452730.02,2021-09,2021Q3,East,2970.0,20,929,2041.0,68.72,148.5
1,1452730.02,2021-09,2021Q3,South,2970.0,20,996,1974.0,66.46,148.5
1,1452730.02,2021-09,2021Q3,West,2970.0,20,599,2371.0,79.83,148.5
1,1452730.02,2021-10,2021Q4,North,11880.0,80,2492,9388.0,79.02,148.5
1,1452730.02,2021-11,2021Q4,North,2970.0,20,898,2072.0,69.76,148.5
1,1452730.02,2021-11,2021Q4,South,2970.0,20,767,2203.0,74.18,148.5
1,1452730.02,2021-11,2021Q4,West,2970.0,20,662,2308.0,77.71,148.5
1,1452730.02,2021-12,2021Q4,West,5940.0,40,1616,4324.0,72.79,148.5
1,1452730.02,2022-01,2022Q1,East,2970.0,20,732,2238.0,75.35,148.5
1,1452730.02,2022-01,2022Q1,North,2970.0,20,608,2362.0,79.53,148.5
1,1452730.02,2022-01,2022Q1,West,17820.0,120,4215,13605.0,76.35,148.5
1,1452730.02,2022-02,2022Q1,North,8910.0,60,3117,5793.0,65.02,148.5
1,1452730.02,2022-03,2022Q1,North,8910.0,60,2594,6316.0,70.89,148.5
1,1452730.02,2022-03,2022Q1,West,5940.0,40,1574,4366.0,73.5,148.5
1,1452730.02,2022-04,2022Q2,South,8910.0,60,1789,7121.0,79.92,148.5
1,1452730.02,2022-05,2022Q2,North,5940.0,40,2056,3884.0,65.39,148.5
1,1452730.02,2022-05,2022Q2,West,2970.0,20,597,2373.0,79.9,148.5
1,1452730.02,2022-06,2022Q2,North,5940.0,40,1956,3984.0,67.07,148.5
1,1452730.02,2022-06,2022Q2,West,5940.0,40,1918,4022.0,67.71,148.5
1,1452928.02,2021-01,2021Q1,East,15840.0,200,4901,10939.0,69.06,79.2
1,1452928.02,2021-01,2021Q1,South,31680.0,400,8836,22844.0,72.11,79.2
1,1452928.02,2021-02,2021Q1,North,31680.0,400,7320,24360.0,76.89,79.2
1,1452928.02,2021-02,2021Q1,South,63360.0,800,18279,45081.0,71.15,79.2
1,1452928.02,2021-03,2021Q1,East,7920.0,100,2104,5816.0,73.43,79.2
1,1452928.02,2021-03,2021Q1,West,23760.0,300,5183,18577.0,78.19,79.2
1,1452928.02,2021-04,2021Q2,East,41184.0,520,12397,28787.0,69.9,79.2
1,1452928.02,2021-04,2021Q2,South,9504.0,120,3108,6396.0,67.3,79.2
1,1452928.02,2021-04,2021Q2,West,9504.0,120,2647,6857.0,72.15,79.2
1,1452928.02,2021-05,2021Q2,East,11088.0,140,2441,8647.0,77.99,79.2
1,1452928.02,2021-05,2021Q2,South,9504.0,120,3210,6294.0,66.22,79.2
1,1452928.02,2021-05,2021Q2,West,11088.0,140,3040,8048.0,72.58,79.2
1,1452928.02,2021-06,2021Q2,North,19008.0,240,5820,13188.0,69.38,79.2
1,1452928.02,2021-06,2021Q2,South,19008.0,240,4748,14260.0,75.02,79.2
1,1452928.02,2021-06,2021Q2,West,19008.0,240,5067,13941.0,73.34,79.2
1,1452928.02,2021-07,2021Q3,East,38016.0,480,8402,29614.0,77.9,79.2
1,1452928.02,2021-07,2021Q3,South,15840.0,200,5440,10400.0,65.66,79.2
1,1452928.02,2021-08,2021Q3,East,15840.0,200,4642,11198.0,70.69,79.2
1,1452928.02,2021-08,2021Q3,North,7920.0,100,2525,5395.0,68.12,79.2
1,1452928.02,2021-08,2021Q3,West,7920.0,100,2185,5735.0,72.41,79.2
1,1452928.02,2021-09,2021Q3,North,15840.0,200,5345,10495.0,66.26,79.2
1,1452928.02,2021-09,2021Q3,South,7920.0,100,1710,6210.0,78.41,79.2
1,1452928.02,2021-10,2021Q4,East,11088.0,140,2954,8134.0,73.36,79.2
1,1452928.02,2021-10,2021Q4,West,7920.0,100,1851,6069.0,76.63,79.2
1,1452928.02,2021-11,2021Q4,North,12672.0,160,3204,9468.0,74.72,79.2
1,1452928.02,2021-11,2021Q4,South,47520.0,600,13040,34480.0,72.56,79.2
1,1452928.02,2021-12,2021Q4,North,31680.0,400,9233,22447.0,70.86,79.2
1,1452928.02,2022-01,2022Q1,East,55440.0,700,15337,40103.0,72.34,79.2
1,1452928.02,2022-01,2022Q1,North,39600.0,500,8174,31426.0,79.36,79.2
1,1452928.02,2022-01,2022Q1,South,31680.0,400,9779,21901.0,69.13,79.2
1,1452928.02,2022-02,2022Q1,North,28512.0,360,6084,22428.0,78.66,79.2
1,1452928.02,2022-03,2022Q1,North,28512.0,360,6796,21716.0,76.16,79.2
1,1452928.02,2022-04,2022Q2,East,6336.0,80,1829,4507.0,71.13,79.2
1,1452928.02,2022-05,2022Q2,South,1584.0,20,427,1157.0,73.04,79.2
1,1452928.02,2022-06,2022Q2,East,38016.0,480,10702,27314.0,71.85,79.2
1,1452928.02,2022-06,2022Q2,South,31680.0,400,8390,23290.0,73.52,79.2
1,1452928.02,2022-06,2022Q2,West,15840.0,200,4639,11201.0,70.71,79.2
1,1452943.02,2021-01,2021Q1,East,9504.0,48,2000,7504.0,78.96,198.0
1,1452943.02,2021-01,2021Q1,North,19008.0,96,5221,13787.0,72.53,198.0
1,1452943.02,2021-01,2021Q1,West,9504.0,48,3029,6475.0,68.13,198.0
1,1452943.02,2021-02,2021Q1,East,19008.0,96,5654,13354.0,70.25,198.0
1,1452943.02,2021-02,2021Q1,North,9504.0,48,3219,6285.0,66.13,198.0
1,1452943.02,2021-02,2021Q1,South,9504.0,48,2623,6881.0,72.4,198.0
1,1452943.02,2021-03,2021Q1,East,31680.0,160,6971,24709.0,78.0,198.0
1,1452943.02,2021-03,2021Q1,North,19008.0,96,4770,14238.0,74.91,198.0
1,1452943.02,2021-04,2021Q2,East,9504.0,48,2739,6765.0,71.18,198.0
1,1452943.02,2021-04,2021Q2,North,9504.0,48,1903,7601.0,79.98,198.0
1,1452943.02,2021-05,2021Q2,West,9504.0,48,2417,7087.0,74.57,198.0
1,1452943.02,2021-06,2021Q2,East,38016.0,192,10232,27784.0,73.09,198.0
1,1452943.02,2021-07,2021Q3,East,19008.0,96,5223,13785.0,72.52,198.0
1,1452943.02,2021-07,2021Q3,North,12672.0,64,2537,10135.0,79.98,198.0
1,1452943.02,2021-07,2021Q3,West,19008.0,96,5664,13344.0,70.2,198.0
1,1452943.02,2021-08,2021Q3,East,9504.0,48,2836,6668.0,70.16,198.0
1,1452943.02,2021-08,2021Q3,South,41184.0,208,10479,30705.0,74.56,198.0
1,1452943.02,2021-09,2021Q3,East,19008.0,96,5749,13259.0,69.75,198.0
1,1452943.02,2021-09,2021Q3,West,9504.0,48,1940,7564.0,79.59,198.0
1,1452943.02,2021-10,2021Q4,West,9504.0,48,2881,6623.0,69.69,198.0
1,1452943.02,2021-11,2021Q4,East,25344.0,128,8114,17230.0,67.98,198.0
1,1452943.02,2021-11,2021Q4,West,34848.0,176,7682,27166.0,77.96,198.0
1,1452943.02,2021-12,2021Q4,East,9504.0,48,2054,7450.0,78.39,198.0
1,1452943.02,2021-12,2021Q4,South,9504.0,48,2081,7423.0,78.1,198.0
1,1452943.02,2022-01,2022Q1,East,44352.0,224,10828,33524.0,75.59,198.0
1,1452943.02,2022-01,2022Q1,West,31680.0,160,7768,23912.0,75.48,198.0
1,1452943.02,2022-02,2022Q1,East,28512.0,144,6863,21649.0,75.93,198.0
1,1452943.02,2022-03,2022Q1,North,12672.0,64,3307,9365.0,73.9,198.0
1,1452943.02,2022-03,2022Q1,West,38016.0,192,11853,26163.0,68.82,198.0
1,1452943.02,2022-04,2022Q2,South,9504.0,48,2298,7206.0,75.82,198.0
1,1452943.02,2022-04,2022Q2,West,9504.0,48,2037,7467.0,78.57,198.0
1,1453057,2021-01,2021Q1,North,13215.0,15000,2799,10416.0,78.82,0.881
1,1453057,2021-01,2021Q1,West,9250.5,10500,2996,6254.5,67.61,0.881
1,1453057,2021-03,2021Q1,South,13215.0,15000,3936,9279.0,70.22,0.881
1,1453057,2021-04,2021Q2,West,13215.0,15000,3215,10000.0,75.67,0.881
1,1453057,2021-05,2021Q2,East,13215.0,15000,3168,10047.0,76.03,0.881
1,1453057,2021-07,2021Q3,East,13215.0,15000,2687,10528.0,79.67,0.881
1,1453057,2021-08,2021Q3,West,13215.0,15000,3642,9573.0,72.44,0.881
1,1453057,2021-09,2021Q3,South,13215.0,15000,3446,9769.0,73.92,0.881
1,1453057,2021-11,2021Q4,East,13215.0,15000,3495,9720.0,73.55,0.881
1,1453057,2021-12,2021Q4,North,13215.0,15000,3895,9320.0,70.53,0.881
1,1453057,2022-01,2022Q1,East,13215.0,15000,3583,9632.0,72.89,0.881
1,1453057,2022-03,2022Q1,South,13215.0,15000,3498,9717.0,73.53,0.881
1,1453057,2022-03,2022Q1,West,13215.0,15000,4217,8998.0,68.09,0.881
1,1453057,2022-05,2022Q2,East,11893.5,13500,2526,9367.5,78.76,0.881
1,1453057,2022-06,2022Q2,North,13215.0,15000,4218,8997.0,68.08,0.881
1,1453150.02,2021-01,2021Q1,East,5346.0,60,1103,4243.0,79.37,89.1
1,1453150.02,2021-01,2021Q1,North,10692.0,120,2522,8170.0,76.41,89.1
1,1453150.02,2021-01,2021Q1,South,5346.0,60,1509,3837.0,71.77,89.1
1,1453150.02,2021-02,2021Q1,East,10692.0,120,3359,7333.0,68.58,89.1
1,1453150.02,2021-02,2021Q1,South,10692.0,120,3027,7665.0,71.69,89.1
1,1453150.02,2021-03,2021Q1,East,7128.0,80,2222,4906.0,68.83,89.1
1,1453150.02,2021-03,2021Q1,South,14256.0,160,4011,10245.0,71.86,89.1
1,1453150.02,2021-03,2021Q1,West,5346.0,60,1073,4273.0,79.93,89.1
1,1453150.02,2021-04,2021Q2,East,5346.0,60,1662,3684.0,68.91,89.1
1,1453150.02,2021-04,2021Q2,North,5346.0,60,1105,4241.0,79.33,89.1
1,1453150.02,2021-04,2021Q2,South,5346.0,60,1163,4183.0,78.25,89.1
1,1453150.02,2021-04,2021Q2,West,10692.0,120,3492,7200.0,67.34,89.1
1,1453150.02,2021-05,2021Q2,West,10692.0,120,2984,7708.0,72.09,89.1
1,1453150.02,2021-06,2021Q2,East,15147.0,170,3933,11214.0,74.03,89.1
1,1453150.02,2021-06,2021Q2,South,12474.0,140,4265,8209.0,65.81,89.1
1,1453150.02,2021-07,2021Q3,North,14256.0,160,3887,10369.0,72.73,89.1
1,1453150.02,2021-07,2021Q3,South,14256.0,160,4001,10255.0,71.93,89.1
1,1453150.02,2021-08,2021Q3,East,7128.0,80,1579,5549.0,77.85,89.1
1,1453150.02,2021-08,2021Q3,South,12474.0,140,3560,8914.0,71.46,89.1
1,1453150.02,2021-08,2021Q3,West,7128.0,80,1547,5581.0,78.3,89.1
1,1453150.02,2021-09,2021Q3,East,5346.0,60,1363,3983.0,74.5,89.1
1,1453150.02,2021-09,2021Q3,South,7128.0,80,1683,5445.0,76.39,89.1
1,1453150.02,2021-10,2021Q4,North,17820.0,200,4234,13586.0,76.24,89.1
1,1453150.02,2021-11,2021Q4,East,16038.0,180,5185,10853.0,67.67,89.1
1,1453150.02,2021-11,2021Q4,North,16038.0,180,5205,10833.0,67.55,89.1
1,1453150.02,2021-11,2021Q4,South,10692.0,120,2253,8439.0,78.93,89.1
1,1453150.02,2021-11,2021Q4,West,7128.0,80,2015,5113.0,71.73,89.1
1,1453150.02,2021-12,2021Q4,North,8910.0,100,1967,6943.0,77.92,89.1
1,1453150.02,2021-12,2021Q4,South,8910.0,100,2634,6276.0,70.44,89.1
1,1453150.02,2021-12,2021Q4,West,17820.0,200,3968,13852.0,77.73,89.1
1,1453150.02,2022-01,2022Q1,East,35640.0,400,9129,26511.0,74.39,89.1
1,1453150.02,2022-01,2022Q1,North,12474.0,140,3597,8877.0,71.16,89.1
1,1453150.02,2022-01,2022Q1,West,58806.0,660,20199,38607.0,65.65,89.1
1,1453150.02,2022-02,2022Q1,North,17820.0,200,5163,12657.0,71.03,89.1
1,1453150.02,2022-03,2022Q1,South,8910.0,100,2991,5919.0,66.43,89.1
1,1453150.02,2022-04,2022Q2,West,17820.0,200,6149,11671.0,65.49,89.1
1,1453150.02,2022-05,2022Q2,East,32076.0,360,8498,23578.0,73.51,89.1
1,1453150.02,2022-05,2022Q2,West,46332.0,520,10517,35815.0,77.3,89.1
1,1453150.02,2022-06,2022Q2,South,64152.0,720,18435,45717.0,71.26,89.1
1,1453150.02,2022-06,2022Q2,West,74844.0,840,21165,53679.0,71.72,89.1
1,1453220.02,2021-01,2021Q1,East,5940.0,60,1539,4401.0,74.09,99.0
1,1453220.02,2021-01,2021Q1,West,5940.0,60,1299,4641.0,78.13,99.0
1,1453220.02,2021-02,2021Q1,South,3960.0,40,868,3092.0,78.08,99.0
1,1453220.02,2021-02,2021Q1,West,3960.0,40,954,3006.0,75.91,99.0
1,1453220.02,2021-03,2021Q1,West,3960.0,40,958,3002.0,75.81,99.0
1,1453220.02,2021-04,2021Q2,East,13860.0,140,2855,11005.0,79.4,99.0
1,1453220.02,2021-04,2021Q2,West,7920.0,80,2517,5403.0,68.22,99.0
1,1453220.02,2021-05,2021Q2,East,5940.0,60,1520,4420.0,74.41,99.0
1,1453220.02,2021-05,2021Q2,North,39600.0,400,9868,29732.0,75.08,99.0
1,1453220.02,2021-08,2021Q3,East,1980.0,20,595,1385.0,69.95,99.0
1,1453220.02,2021-08,2021Q3,West,1980.0,20,436,1544.0,77.98,99.0
1,1453220.02,2021-09,2021Q3,East,1980.0,20,536,1444.0,72.93,99.0
1,1453220.02,2021-09,2021Q3,South,11880.0,120,3346,8534.0,71.84,99.0
1,1453220.02,2021-09,2021Q3,West,5940.0,60,1742,4198.0,70.67,99.0
1,1453220.02,2021-10,2021Q4,East,23760.0,240,6421,17339.0,72.98,99.0
1,1453220.02,2021-10,2021Q4,South,15840.0,160,4774,11066.0,69.86,99.0
1,1453220.02,2021-11,2021Q4,East,3960.0,40,1116,2844.0,71.82,99.0
1,1453220.02,2021-11,2021Q4,North,3960.0,40,1239,2721.0,68.71,99.0
1,1453220.02,2021-11,2021Q4,West,1980.0,20,689,1291.0,65.2,99.0
1,1453220.02,2021-12,2021Q4,East,15840.0,160,5151,10689.0,67.48,99.0
1,1453220.02,2021-12,2021Q4,South,3960.0,40,1222,2738.0,69.14,99.0
1,1453220.02,2021-12,2021Q4,West,5940.0,60,1724,4216.0,70.98,99.0
1,1453220.02,2022-01,2022Q1,North,9900.0,100,2835,7065.0,71.36,99.0
1,1453220.02,2022-01,2022Q1,West,15840.0,160,3780,12060.0,76.14,99.0
1,1453220.02,2022-03,2022Q1,North,1980.0,20,566,1414.0,71.41,99.0
1,1453220.02,2022-03,2022Q1,South,1980.0,20,599,1381.0,69.75,99.0
1,1453220.02,2022-03,2022Q1,West,3960.0,40,945,3015.0,76.14,99.0
